time,viewers,date,channels,name,id,rownum,星期,viewersre,rownumch,rownumre
20:00:00,53114,2019-04-06,2012,Counter-Strike: Global Offensive,3,8,7,0.067922019,30,0.3
20:00:00,46835,2019-04-06,543,Rocket League,14,9,7,0.0598924532,20,0.2
20:00:00,44980,2019-04-06,4313,Apex Legends,48815,10,7,0.0575202849,10,0.1
20:00:00,307202,2019-04-07,3582,League of Legends,2,1,1,0.3928489677,100,1
20:00:00,246113,2019-04-07,18634,Fortnite,8375,2,1,0.3147285434,90,0.9
20:00:00,169521,2019-04-07,1623,Grand Theft Auto V,24,3,1,0.2167829306,80,0.8
20:00:00,153194,2019-04-07,1510,Just Chatting,46369,4,1,0.1959040135,70,0.7
20:00:00,118105,2019-04-07,1440,Overwatch,7410,5,1,0.1510323088,60,0.6
20:00:00,100021,2019-04-07,838,FIFA 19,43416,6,1,0.1279065455,50,0.5
20:00:00,65039,2019-04-07,1064,Dota 2,6,7,1,0.0831716721,40,0.4
20:00:00,56600,2019-04-07,2157,Counter-Strike: Global Offensive,3,8,1,0.072379905,30,0.3
20:00:00,54750,2019-04-07,483,Rocket League,14,9,1,0.0700141307,20,0.2
20:00:00,49381,2019-04-07,4328,Apex Legends,48815,10,1,0.0631482701,10,0.1
