time,viewers,date,channels,name,id,rownum,星期
20:00:00,276387,2018-04-16,14215,Fortnite,8375,1,2
20:00:00,139448,2018-04-16,2641,League of Legends,2,2,2
20:00:00,105787,2018-04-16,902,IRL,29791,3,2
20:00:00,92750,2018-04-16,3120,PLAYERUNKNOWN'S BATTLEGROUNDS,26989,4,2
20:00:00,89756,2018-04-16,661,Hearthstone,5,5,2
20:00:00,54359,2018-04-16,822,Dota 2,6,6,2
20:00:00,43134,2018-04-16,674,Grand Theft Auto V,24,7,2
20:00:00,42353,2018-04-16,6,Tricky Towers,25902,8,2
20:00:00,40693,2018-04-16,1503,Counter-Strike: Global Offensive,3,9,2
20:00:00,25264,2018-04-16,1799,Overwatch,7410,10,2
20:00:00,298737,2018-04-17,13066,Fortnite,8375,1,3
20:00:00,123709,2018-04-17,2593,League of Legends,2,2,3
20:00:00,89781,2018-04-17,612,Hearthstone,5,3,3
20:00:00,85784,2018-04-17,3306,PLAYERUNKNOWN'S BATTLEGROUNDS,26989,4,3
20:00:00,64539,2018-04-17,877,IRL,29791,5,3
20:00:00,45931,2018-04-17,798,Dota 2,6,6,3
20:00:00,41411,2018-04-17,28,SpyParty,2769,7,3
20:00:00,38247,2018-04-17,1459,Counter-Strike: Global Offensive,3,8,3
20:00:00,34189,2018-04-17,1284,World of Warcraft,79,9,3
20:00:00,33492,2018-04-17,651,Grand Theft Auto V,24,10,3
20:00:00,281746,2018-04-18,12797,Fortnite,8375,1,4
20:00:00,149738,2018-04-18,2530,League of Legends,2,2,4
20:00:00,89773,2018-04-18,3117,PLAYERUNKNOWN'S BATTLEGROUNDS,26989,3,4
20:00:00,89559,2018-04-18,590,Hearthstone,5,4,4
20:00:00,71312,2018-04-18,816,Dota 2,6,5,4
20:00:00,65953,2018-04-18,844,IRL,29791,6,4
20:00:00,41873,2018-04-18,1396,Counter-Strike: Global Offensive,3,7,4
20:00:00,34474,2018-04-18,12,Tricky Towers,25902,8,4
20:00:00,33303,2018-04-18,90,Darwin Project,34483,9,4
20:00:00,32299,2018-04-18,637,Grand Theft Auto V,24,10,4
20:00:00,155280,2018-04-19,12598,Fortnite,8375,1,5
20:00:00,107860,2018-04-19,2483,League of Legends,2,2,5
20:00:00,103425,2018-04-19,600,God of War,432,3,5
20:00:00,103393,2018-04-19,1367,Counter-Strike: Global Offensive,3,4,5
20:00:00,86510,2018-04-19,2732,PLAYERUNKNOWN'S BATTLEGROUNDS,26989,5,5
20:00:00,68613,2018-04-19,718,Dota 2,6,6,5
20:00:00,67643,2018-04-19,534,Hearthstone,5,7,5
20:00:00,40686,2018-04-19,884,IRL,29791,8,5
20:00:00,33349,2018-04-19,42,God of War III,143,9,5
20:00:00,30676,2018-04-19,1566,Overwatch,7410,10,5
20:00:00,280441,2018-04-20,4994,God of War,432,1,6
20:00:00,173185,2018-04-20,13381,Fortnite,8375,2,6
20:00:00,116675,2018-04-20,2501,League of Legends,2,3,6
20:00:00,81841,2018-04-20,961,IRL,29791,4,6
20:00:00,71390,2018-04-20,476,Hearthstone,5,5,6
20:00:00,62480,2018-04-20,3173,PLAYERUNKNOWN'S BATTLEGROUNDS,26989,6,6
20:00:00,44628,2018-04-20,782,Dota 2,6,7,6
20:00:00,39339,2018-04-20,1524,Counter-Strike: Global Offensive,3,8,6
20:00:00,35810,2018-04-20,1648,Overwatch,7410,9,6
20:00:00,25833,2018-04-20,688,Grand Theft Auto V,24,10,6
20:00:00,215658,2018-04-21,4436,God of War,432,1,7
20:00:00,178596,2018-04-21,15574,Fortnite,8375,2,7
20:00:00,126839,2018-04-21,2733,League of Legends,2,3,7
20:00:00,96392,2018-04-21,1598,Counter-Strike: Global Offensive,3,4,7
20:00:00,84766,2018-04-21,968,IRL,29791,5,7
20:00:00,70826,2018-04-21,422,Rocket League,14,6,7
20:00:00,68385,2018-04-21,459,Hearthstone,5,7,7
20:00:00,54486,2018-04-21,1907,Overwatch,7410,8,7
20:00:00,54440,2018-04-21,3357,PLAYERUNKNOWN'S BATTLEGROUNDS,26989,9,7
20:00:00,52646,2018-04-21,1046,Dota 2,6,10,7
20:00:00,248739,2018-04-22,15452,Fortnite,8375,1,1
20:00:00,193992,2018-04-22,4133,God of War,432,2,1
20:00:00,167031,2018-04-22,2671,League of Legends,2,3,1
20:00:00,91311,2018-04-22,453,Rocket League,14,4,1
20:00:00,64240,2018-04-22,852,IRL,29791,5,1
20:00:00,49470,2018-04-22,1503,Counter-Strike: Global Offensive,3,6,1
20:00:00,48629,2018-04-22,465,Hearthstone,5,7,1
20:00:00,43269,2018-04-22,3419,PLAYERUNKNOWN'S BATTLEGROUNDS,26989,8,1
20:00:00,42680,2018-04-22,831,Dota 2,6,9,1
20:00:00,38210,2018-04-22,743,Grand Theft Auto V,24,10,1
20:00:00,299941,2018-04-23,11981,Fortnite,8375,1,2
20:00:00,167768,2018-04-23,2965,God of War,432,2,2
20:00:00,100926,2018-04-23,2610,League of Legends,2,3,2
20:00:00,79761,2018-04-23,499,Hearthstone,5,4,2
20:00:00,73304,2018-04-23,2991,PLAYERUNKNOWN'S BATTLEGROUNDS,26989,5,2
20:00:00,59594,2018-04-23,798,Dota 2,6,6,2
20:00:00,46958,2018-04-23,850,IRL,29791,7,2
20:00:00,33924,2018-04-23,637,Grand Theft Auto V,24,8,2
20:00:00,28538,2018-04-23,1558,Overwatch,7410,9,2
20:00:00,28029,2018-04-23,1437,Counter-Strike: Global Offensive,3,10,2
20:00:00,273155,2018-04-24,11435,Fortnite,8375,1,3
20:00:00,102835,2018-04-24,2524,League of Legends,2,2,3
20:00:00,102702,2018-04-24,2458,God of War,432,3,3
20:00:00,102314,2018-04-24,2768,PLAYERUNKNOWN'S BATTLEGROUNDS,26989,4,3
20:00:00,67687,2018-04-24,784,Dota 2,6,5,3
20:00:00,54492,2018-04-24,510,Hearthstone,5,6,3
20:00:00,43689,2018-04-24,883,IRL,29791,7,3
20:00:00,39375,2018-04-24,657,Frostpunk,36012,8,3
20:00:00,37110,2018-04-24,695,Grand Theft Auto V,24,9,3
20:00:00,28530,2018-04-24,1366,Counter-Strike: Global Offensive,3,10,3
20:00:00,319813,2018-04-25,11715,Fortnite,8375,1,4
20:00:00,98313,2018-04-25,2514,League of Legends,2,2,4
20:00:00,95563,2018-04-25,2738,PLAYERUNKNOWN'S BATTLEGROUNDS,26989,3,4
20:00:00,85072,2018-04-25,2211,God of War,432,4,4
20:00:00,59680,2018-04-25,897,IRL,29791,5,4
20:00:00,55983,2018-04-25,777,Dota 2,6,6,4
20:00:00,51919,2018-04-25,488,Hearthstone,5,7,4
20:00:00,34804,2018-04-25,1444,Overwatch,7410,8,4
20:00:00,31859,2018-04-25,622,Grand Theft Auto V,24,9,4
20:00:00,31456,2018-04-25,1313,Counter-Strike: Global Offensive,3,10,4
20:00:00,310392,2018-04-26,12143,Fortnite,8375,1,5
20:00:00,112044,2018-04-26,2533,League of Legends,2,2,5
20:00:00,109780,2018-04-26,2860,PLAYERUNKNOWN'S BATTLEGROUNDS,26989,3,5
20:00:00,100170,2018-04-26,697,Hearthstone,5,4,5
20:00:00,62029,2018-04-26,1376,Counter-Strike: Global Offensive,3,5,5
20:00:00,61111,2018-04-26,883,IRL,29791,6,5
20:00:00,38163,2018-04-26,719,Dota 2,6,7,5
20:00:00,37735,2018-04-26,1892,God of War,432,8,5
20:00:00,35327,2018-04-26,657,Grand Theft Auto V,24,9,5
20:00:00,29760,2018-04-26,1668,World of Warcraft,79,10,5
20:00:00,300033,2018-04-27,13826,Fortnite,8375,1,6
20:00:00,138278,2018-04-27,725,Dota 2,6,2,6
20:00:00,96083,2018-04-27,2604,League of Legends,2,3,6
20:00:00,91861,2018-04-27,2917,PLAYERUNKNOWN'S BATTLEGROUNDS,26989,4,6
20:00:00,76041,2018-04-27,1060,IRL,29791,5,6
20:00:00,52719,2018-04-27,588,Hearthstone,5,6,6
20:00:00,30181,2018-04-27,732,Grand Theft Auto V,24,7,6
20:00:00,29682,2018-04-27,1541,Overwatch,7410,8,6
20:00:00,28057,2018-04-27,19,Murderous Pursuits,40804,9,6
20:00:00,26170,2018-04-27,15,Nintendo Labo Variety Kit,39540,10,6
20:00:00,255990,2018-04-28,15590,Fortnite,8375,1,7
20:00:00,182994,2018-04-28,2683,League of Legends,2,2,7
20:00:00,88513,2018-04-28,1023,IRL,29791,3,7
20:00:00,85565,2018-04-28,1051,World of Warcraft,79,4,7
20:00:00,52808,2018-04-28,3269,PLAYERUNKNOWN'S BATTLEGROUNDS,26989,5,7
20:00:00,48247,2018-04-28,1344,Overwatch,7410,6,7
20:00:00,46651,2018-04-28,478,Hearthstone,5,7,7
20:00:00,36838,2018-04-28,976,Dota 2,6,8,7
20:00:00,31856,2018-04-28,6,Treadnauts,39901,9,7
20:00:00,29553,2018-04-28,1577,Counter-Strike: Global Offensive,3,10,7
20:00:00,303810,2018-04-29,16059,Fortnite,8375,1,1
20:00:00,233338,2018-04-29,774,Dota 2,6,2,1
20:00:00,102484,2018-04-29,915,IRL,29791,3,1
20:00:00,98025,2018-04-29,2749,League of Legends,2,4,1
20:00:00,87632,2018-04-29,1570,World of Warcraft,79,5,1
20:00:00,79083,2018-04-29,3175,PLAYERUNKNOWN'S BATTLEGROUNDS,26989,6,1
20:00:00,55650,2018-04-29,282,Frostpunk,36012,7,1
20:00:00,48913,2018-04-29,449,Hearthstone,5,8,1
20:00:00,42429,2018-04-29,713,Grand Theft Auto V,24,9,1
20:00:00,37519,2018-04-29,49,Gwent: The Witcher Card Game,27408,10,1
20:00:00,278757,2018-04-30,13093,Fortnite,8375,1,2
20:00:00,253158,2018-04-30,713,Dota 2,6,2,2
